name_clean,name,alpha.code
Gambels_Quail,Gambel's Quail,GAQU
Yellow-billed_Magpie,Yellow-billed Magpie,YBMA
Northern_Mockingbird,Northern Mockingbird,NOMO
California_Quail,California Quail,CAQU
Mountain_Quail,Mountain Quail,MOQU
American_Crow,American Crow,AMCR
Allens_Hummingbird,Allen's Hummingbird,ALHU
Black-throated_Sparrow,Black-throated Sparrow,BTSP
Nashville_Warbler,Nashville Warbler,NAWA
Killdeer,Killdeer,KILL
White-crowned_Sparrow,White-crowned Sparrow,WCSP
Brewers_Blackbird,Brewer's Blackbird,BRBL
Barn_Swallow,Barn Swallow,BARS
Olive-sided_Flycatcher,Olive-sided Flycatcher,OSFL
Chipping_Sparrow,Chipping Sparrow,CHSP
Red-winged_Blackbird,Red-winged Blackbird,RWBL
House_Sparrow,House Sparrow,HOSP
Western_Meadowlark,Western Meadowlark,WEME
Song_Sparrow,Song Sparrow,SOSP
Bullocks_Oriole,Bullock's Oriole,BUOR
Horned_Lark,Horned Lark,HOLA
American_Coot,American Coot,AMCO
Scotts_Oriole,Scott's Oriole,SCOR
California_Gull,California Gull,CAGU
Cinnamon_Teal,Cinnamon Teal,CITE
Forsters_Tern,Forster's Tern,FOTE
Wilsons_Snipe,Wilson's Snipe,WISN
Pine_Siskin,Pine Siskin,PISI
Chukar,Chukar,CHUK
Bank_Swallow,Bank Swallow,BANS
White-tailed_Kite,White-tailed Kite,WTKI
Brewers_Sparrow,Brewer's Sparrow,BRSP
Loggerhead_Shrike,Loggerhead Shrike,LOSH
Northern_Rough-winged_Swallow,Northern Rough-winged Swallow,NRWS
European_Starling,European Starling,EUST
House_Wren,House Wren,HOWR
Long-billed_Curlew,Long-billed Curlew,LBCU
Lewiss_Woodpecker,Lewis's Woodpecker,LEWO
Wilsons_Warbler,Wilson's Warbler,WIWA
Chestnut-backed_Chickadee,Chestnut-backed Chickadee,CBCH
Black-billed_Magpie,Black-billed Magpie,BBMA
Costas_Hummingbird,Costa's Hummingbird,COHU
Ring-billed_Gull,Ring-billed Gull,RBGU
